ای;ey - O
ایران;īrān - Iran
مرز;marz - border/land
پرگهر;par-gohar - full-jewel/bejeweled
خاکت;khākat - your soil
سرچشمه;sarchashmeh - spring/source/wellspring
هنر;honar - art/virtue
دور;dur - far
از;az - from
تو;to - you
اندیشه;andisheh - thought
بدان;badan - to evil
پاینده;pāyandeh - enduring
مانی;māni - you remain
جاودان;jāvedān - eternal
دشمن;doshman - enemy
اگر;agar - if
سنگ‌خاره‌ای;sang-khāreh-ī - stone-hearted/of stone
من;man - I/my
آهنم;āhanam - I am steel
جان;jān - life
فدای;fadā - sacrifice/be sacrificed
خاک;khāk - soil
پاک;pāk - pure
میهنم;mīhanam - my homeland
مهر;mehr - love
چون;chun - when/how
شد;shod - became
پیشه‌ام;pīsheh-am - my calling
نیست;nist - is not
اندیشه‌ام;andisheh-am - my thoughts
در راه;dar rāh - in path/in your cause
کی;key - when
ارزشی;arzeshī - value
دارد;dārad - has
این;īn - this
ما;mā - us/our
باد;bād - be/may be
سنگ;sang - stone
کوهت;kohat - your mountain
در;dar - gems/in
و;va - and
گوهر;gowhar - pearls
است;ast - is
دشتت;dashtat - your plain
بهتر;behtar - better
زر;zar - gold
مهرت;mehr-e to - your love/love of you
از دل;az del - from heart
برون کنم;berun konam - I rid out
بگو;begu - tell
بی‌مهر;bi-mehr-e - without love/without affection
چون کنم;chun konam - how I do/what I would do
تا;tā - until/as long as
گردش;gardesh - rotation/turning
جهان;jahān - world
دور;dor - orbit
آسمان;āsemān - sky
به;be - to/on
پاست;pāst - stands/lasts
نور;nūr - light
ایزدی;īzadi - divine
همیشه;hamīshe - always
رهنمای;rahnamā - guide
ماست;māst - is ours/us
خرم;khorram - lush
بهشت;behesht - paradise
روشن;roshan - bright
سرنوشت;sarnevesht - destiny
گر;gar - if
آتش;ātesh - fire
بارد;bārad - rains
پیکرم;piykar-am - my body
جز;juz - except/other than
در دل;dar del - in heart
نپرورم;na-parvaram - I will not nurture
آب;āb - water
گلم;gel-am - my clay
سرشته شد;sarshteh shod - was molded
برون رود;berun ravad - leaves/goes out
تهی شود;tehi shavad - becomes empty
دلم;delam - my heart
